Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transaction Tax,,,,,,,,,Transaction Detail,,,,,,,,,,,,,,,,,Transaction Detail Tax,,,,,,,,,,,,,,,,,
*required. Your actual company tin no,"*required, current version ""1.1""","*required, please get the code from transaction_code sheet","*required,accepted code can be find in transaction_code sheet. You may only define 1 code per transaction","*required, date. Date format = ""YYYY-MM-DD""","*required, timestamp. Time format = ""HH:MM:SS""","*required,accepted code can be find in transaction_code sheet. You may only define 1 code per transaction","*optional,accepted code can be find in transaction_code sheet. You may only define 1 code per transaction","*optional, accepts number only","*optional, may refer to sheet for accepted cycle name","*optional, date_format:YYYY-MM-DD","*optional, time:HH:MM:SS","*optional,accepted code can be find in transaction_code sheet. You may only define 1 code per transaction",*optional,"*optional, max 300 character","*optional,","*optional,date_format:YYYY-MM-DD","*optional,time:HH:MM:SS","*optional, max 150 character, cannot contain duplicate value","*optional, max 150 character",*required,*required,*required,*required,*optional,*optional,*required,*optional,*optional,*optional,*optional,*optional,*optional,*optional,*optional,*optional,*optional,"*optional,accepted code can be find in transaction_code sheet. You may only define 1 code per transaction","*optional,accepted code can be find in transaction_code sheet. You may only define 1 code per transaction",*optional,*optional,*optional,"*optional, max character is 14","*optional, max character is 20, minimum character is 12","*optional,accepted code can be find in transaction_code sheet.","*optional, max character is 12","*optional, max character is 3","*optional, max character is 300","*optional, max character is 12","*optional, only accepts numbers","*optional, max character is 300","*optional, max character is 300",*required. follow the code in sheet 1,"*optional, only accepts numbers","*required, only accepts numbers","*optional, follow the code in sheet 1",*optional,"*optional, only accepts numbers","*optional, follow the code in sheet 1",*optional,"*optional, only accepts numbers","*required, the code can be found in transaction_code sheet, if have more than 1 code, use ; as seperator; e.g:001;002;003",*required,"*required, only accepts numbers",*optional,*optional,"*required, only accepts numbers","*required, only accepts numbers",*optional,"*optional, can refer to transaction_code sheet to get code",*optional,*optional,*optional,*optional,*optional,*optional,*optional,"*optional, can refer to transaction_code sheet to get code","*required, follow the code in sheet 1",*optional,"*required, only accepts numbers","*required, only accepts numbers","*required, only accepts numbers","*required, only accepts numbers","*optional, follow the code in sheet 1","*optional, only accepts numbers","*optional, only accepts numbers","*optional, only accepts numbers","*optional, only accepts numbers","*optional, only accepts numbers","*optional, follow the code in sheet 1","*optional, only accepts numbers","*optional, only accepts numbers","*optional, only accepts numbers","*optional, only accepts numbers","*optional, only accepts numbers"
Tin ID,Version,Store Code,Document No,Document Date,Document Time,Currency Code,Document Template Code,Exchange Rate,Billing Cycle,Billing Cycle Start Date,Billing Cycle End Date,Payment Type,Bank Account No,Payment Term,PrePayment Amount,PrePayment Date,PrePayment Time,PrePayment Ref No,Bill Ref No,Total Excluding Tax,Total Including Tax,Total Payable Amount,Net Total,Total Discount,Total Fee,Grand Total Tax,Rounding,Tax Exemption Description,Total Tax Exemption Amount,Extra Discount Amount,Extra Discount Description,Extra Fee Amount,Extra Fee Description,Shipping Receiver Name,Shipping Postal Zone,Shipping City,Shipping Country Subentity Code,Shipping Country Identification Code,Shipping Address Line1,Shipping Address Line2,Shipping Address Line3,Shipping Tin,Shipping Id No,Shipping Id Type,Custom Form1,Incoterms,Fta Description,Atiga No,Custom Form2,Additional Charges Amount,Additional Charges Description,Transaction Tax Type 1,Transaction Total Taxable Amount 1,Transaction Total TaxAmount 1,Transaction Tax Type 2,Transaction Total Taxable Amount 2,Transaction Total TaxAmount 2,Transaction Tax Type 3,Transaction Total Taxable Amount 3,Transaction Total TaxAmount 3,Classification Code,Description,Unit Price,Tax Exemption Description,Tax Exemption Amount,Subtotal,Total Excluding Tax,Quantity,Measurement,Discount Rate,Discount Amount,Discount Description,Fee Rate,Fee Amount,Fee Description,Product Tariff Code,Product Country,Detail Tax Type 1,Detail Total Taxable Amount 1,Detail Total TaxAmount 1,Detail Tax Rate 1,Detail Tax Base Unit Measure 1,Detail Tax Per Unit Amount 1,Detail Tax Type 2,Detail Total Taxable Amount 2,Detail Total TaxAmount 2,Detail Tax Rate 2,Detail Tax Base Unit Measure 2,Detail Tax Per Unit Amount 2,Detail Tax Type 3,Detail Total Taxable Amount 3,Detail Total TaxAmount 3,Detail Tax Rate 3,Detail Tax Base Unit Measure 3,Detail Tax Per Unit Amount 3
C23768804020,1.1,STR_000001,B2CINV1011_000035,2025-11-10,09:30:14,MYR,,,,,,,,,,,,,,1.00,1.00,2.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,01,,0.00,,,,,,,001,ADI ITEM 0001,1.00,,,1.00,1.00,1,,,0,,,,,,,01,,0.00,0,0,0.00,,,,,,,,,,,,
C23768804020,1.1,STR_000001,B2CINV1011_000036,2025-11-10,09:30:14,MYR,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,01,,0.00,,,,,,,001,ADI ITEM 0001,1.00,,,1.00,1.00,1,,,0,,,,,,,01,,0.00,0,0,0.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
